combination,symbols,kr_count,us_count,annual_return,annual_volatility,sharpe_zero_rate,max_drawdown,average_pair_correlation
226980|IVV|ITOT|IWD,"226980,IVV,ITOT,IWD",1,3,0.1489058533773955,0.13500650497565492,1.1029531755099282,-0.13952698678487252,0.5770019722539791
275290|IVV|ITOT|IWD,"275290,IVV,ITOT,IWD",1,3,0.1790508079718734,0.1360415593963442,1.316147865155131,-0.14397097433976103,0.5557362026247685
226490|IVV|ITOT|IWD,"226490,IVV,ITOT,IWD",1,3,0.16810864448496554,0.13622249550362786,1.2340740335394054,-0.14654717663892913,0.58292181675685
226980|275290|IVV|IWD,"226980,275290,IVV,IWD",2,2,0.17058202107250128,0.13748037792812293,1.2407735826976303,-0.16141074646477327,0.3739769055381172
226490|226980|IVV|IWD,"226490,226980,IVV,IWD",2,2,0.15963985758559343,0.1376546097554182,1.1597131245313044,-0.15705368298303357,0.40320153338169035
292190|IVV|ITOT|IWD,"292190,IVV,ITOT,IWD",1,3,0.17490408583303613,0.13803263901587443,1.2671212191554297,-0.15181286085465917,0.5764525824763796
226980|275290|ITOT|IWD,"226980,275290,ITOT,IWD",2,2,0.1683171132650444,0.13822140226734028,1.2177355351922607,-0.1632270043588332,0.3791121872578144
226490|226980|ITOT|IWD,"226490,226980,ITOT,IWD",2,2,0.15737494977813654,0.13841276783154224,1.136997346730849,-0.15888872775908502,0.4085196778264952
292190|226980|IVV|IWD,"292190,226980,IVV,IWD",2,2,0.166435298933664,0.13861365451682708,1.2007135914121612,-0.16265196258954584,0.3864562871693067
069500|IVV|ITOT|IWD,"069500,IVV,ITOT,IWD",1,3,0.1783530654462135,0.13907730577649113,1.28240236212831,-0.14908078931725322,0.5743084533914304
292190|226980|ITOT|IWD,"292190,226980,ITOT,IWD",2,2,0.16417039112620707,0.139385270417639,1.1778173592826888,-0.1651445865884259,0.391854380402252
069500|226980|IVV|IWD,"069500,226980,IVV,IWD",2,2,0.16988427854684138,0.1395216919384676,1.2176191113118409,-0.1603167809005368,0.38166038346385056
069500|226980|ITOT|IWD,"069500,226980,ITOT,IWD",2,2,0.1676193707393845,0.14028229245141194,1.1948719101339251,-0.16221062945390963,0.38694823046933724
226980|IVV|IWD|IWF,"226980,IVV,IWD,IWF",1,3,0.15031910697297068,0.14049081514768455,1.0699568282449965,-0.1587701246377452,0.5367664673626866
226980|IVV|IJS|IWD,"226980,IVV,IJS,IWD",1,3,0.14274920076640746,0.14059361515545743,1.0153320306086913,-0.12860680238479205,0.5217446598500307
226490|IVV|IJS|IWD,"226490,IVV,IJS,IWD",1,3,0.1619519918739775,0.1407351344611749,1.150757360584011,-0.1328936313744502,0.518257478846196
275290|IVV|IJS|IWD,"275290,IVV,IJS,IWD",1,3,0.17289415536088532,0.14090449088146464,1.2270308368406218,-0.1321636230946166,0.49630446141183415
