,069500,226490,292190,229200,226980,275290,IVV,ITOT,IWM,IJS,IWD,IWF
069500,1.0,0.9836799122220886,0.9933987813033109,0.4653806896768333,0.5441333756388631,0.9540978703796528,0.24728156266585555,0.25545418549591575,0.254801905443997,0.1736791972858895,0.17737960754922605,0.26240345562917744
226490,0.9836799122220886,1.0,0.9865743488145408,0.5283020887455482,0.6388004013597353,0.9424707926658865,0.26420008443629756,0.2725544919022663,0.27446501417916735,0.19192617689609082,0.19504095956495052,0.27665847239400715
292190,0.9933987813033109,0.9865743488145408,1.0,0.5255927440798897,0.5669507722768161,0.9491599723129784,0.2535268342160155,0.26236093441082753,0.2627680210535824,0.17833064610332508,0.17709236159384975,0.2734665387820823
229200,0.4653806896768333,0.5283020887455482,0.5255927440798897,1.0,0.6027112650756686,0.42551190206801426,0.23725932305242184,0.23734340916784258,0.19588470007067044,0.14002404893663548,0.1329858358840059,0.2780152303061085
226980,0.5441333756388631,0.6388004013597353,0.5669507722768161,0.6027112650756686,1.0,0.5632043374048868,0.2443012885140343,0.25290076710275045,0.27098963122877673,0.22871460513680789,0.19907441326950476,0.24394799474222062
275290,0.9540978703796528,0.9424707926658865,0.9491599723129784,0.42551190206801426,0.5632043374048868,1.0,0.201935279101045,0.20919251021636842,0.21711915092782635,0.1599597753965104,0.1575540617936125,0.20412616770052622
IVV,0.24728156266585555,0.26420008443629756,0.2535268342160155,0.23725932305242184,0.2443012885140343,0.201935279101045,1.0,0.9951962777322017,0.8043412157896701,0.7166399101624988,0.8777920531456197,0.9530449296815023
ITOT,0.25545418549591575,0.2725544919022663,0.26236093441082753,0.23734340916784258,0.25290076710275045,0.20919251021636842,0.9951962777322017,1.0,0.8514747858140357,0.7610583868360001,0.8927470337597636,0.9461020109020833
IWM,0.254801905443997,0.27446501417916735,0.2627680210535824,0.19588470007067044,0.27098963122877673,0.21711915092782635,0.8043412157896701,0.8514747858140357,1.0,0.9394642555375508,0.8619769951855205,0.7106037035071148
IJS,0.1736791972858895,0.19192617689609082,0.17833064610332508,0.14002404893663548,0.22871460513680789,0.1599597753965104,0.7166399101624988,0.7610583868360001,0.9394642555375508,1.0,0.8639456888717186,0.5689118535083744
IWD,0.17737960754922605,0.19504095956495052,0.17709236159384975,0.1329858358840059,0.19907441326950476,0.1575540617936125,0.8777920531456197,0.8927470337597636,0.8619769951855205,0.8639456888717186,1.0,0.7024381248232384
IWF,0.26240345562917744,0.27665847239400715,0.2734665387820823,0.2780152303061085,0.24394799474222062,0.20412616770052622,0.9530449296815023,0.9461020109020833,0.7106037035071148,0.5689118535083744,0.7024381248232384,1.0
