date,069500,226490,292190,229200,226980,275290,IVV,ITOT,IWM,IJS,IWD,IWF
2021-09-10,37130.0,28808.0,17390.0,14740.0,13975.0,11561.0,487643.76863999997,111335.96502,243463.08753,106815.63987,170049.1023,81800.17335
2021-09-17,37271.0,28936.0,17478.0,14982.0,14103.0,11619.0,487027.51249999995,111426.0725,245641.27,107875.45749999999,170298.86000000002,81685.41249999999
2021-09-24,37176.0,28790.0,17400.0,14957.0,14035.0,11565.0,490616.61805,112102.80249999999,247331.94785,110151.2243,171728.52839999998,82100.4054
2021-10-01,35796.0,27787.0,16808.0,14105.0,13531.0,11234.0,484816.88189,110981.90567,249033.95757000003,113279.30616000001,172076.68748000002,80038.85597
2021-10-08,35225.0,27283.0,16487.0,13702.0,13243.0,11037.0,491324.76425999997,112182.01896,249481.93643999996,114817.1871,175123.10375999997,80723.66148
2021-10-15,35774.0,27810.0,16758.0,14155.0,13678.0,11140.0,495223.05488000007,113218.93840000001,250923.72544,113886.04848000001,175655.68864000004,81983.24112
2021-10-22,35769.0,27663.0,16716.0,14155.0,13463.0,11126.0,500932.20837,114509.22967999999,252295.14101999998,114675.55390999999,177555.17651999998,83060.88439999998
2021-10-29,35309.0,27348.0,16565.0,14120.0,13266.0,11050.0,503994.8597399999,114908.78857999998,251178.18284,112307.36812,175558.19369999997,84660.04501999999
2021-11-05,35464.0,27398.0,16680.0,14568.0,13056.0,10970.0,521588.1494,119217.4902,270117.03568000003,121833.58216,180475.97444,87916.9508
2021-11-12,35500.0,27389.0,16707.0,14637.0,12992.0,10920.0,517755.22224,118399.9908,266272.52352,120349.27979999999,179827.77876,87039.85295999999
2021-11-19,35509.0,27393.0,16767.0,15100.0,12946.0,10871.0,522097.86221999995,118805.46372,259984.76877,117575.59644,177352.76457,89056.80432
2021-11-26,35023.0,27045.0,16510.0,14489.0,12566.0,10800.0,514234.49684,116700.20546,250638.82272,114814.07547999998,176403.39106,86713.41176999999
2021-12-03,35678.0,27343.0,16785.0,14529.0,12420.0,10965.0,502495.90278999996,113352.49932999998,238812.47062999997,111123.52644999999,172534.1603,83946.76753
2021-12-10,36110.0,27782.0,17019.0,14598.0,12594.0,11167.0,522457.92181,117430.43413999998,244844.97962,114065.1467,177606.32865999997,87664.98178
2021-12-17,36242.0,27796.0,17005.0,14376.0,12534.0,11377.0,512160.58124,115222.77480000001,240179.82639000003,111156.93610000002,176567.34137,84988.07401000001
2021-12-24,36483.0,27805.0,17106.0,14529.0,12575.0,11462.0,526924.9995100001,118698.05654000002,249352.20779000001,114862.20865000002,180424.42908,88181.02433
2021-12-31,36260.0,27769.0,17088.0,14834.0,12735.0,11453.0,532188.7883199999,119581.62976,250001.90576,115836.07759999999,183068.54272,88433.04879999999
2022-01-07,35891.0,27558.0,16803.0,13928.0,12767.0,11538.0,527849.4681,118226.8791,245425.95945,118485.32175,186489.62099999998,85055.02605
2022-01-14,35564.0,27315.0,16689.0,13510.0,12589.0,11498.0,520106.73832,116327.26099,240549.82951999997,117893.19095999999,184579.55768,83324.35780999999
2022-01-21,34586.0,26514.0,16111.0,13200.0,12104.0,11073.0,493043.0766,109922.02799999999,222356.9484,110229.9606,177080.8266,77879.844
2022-01-28,33022.0,25040.0,15350.0,12142.0,11244.0,10692.0,502057.23709999997,111615.43675,222515.5298,110381.1253,179228.55635,79557.2136
2022-02-04,33778.0,25713.0,15721.0,12545.0,11715.0,10907.0,506493.43289999996,112786.8462,224488.6119,110216.7675,180829.7127,80450.2503
2022-02-11,33924.0,25685.0,15762.0,11915.0,11697.0,11050.0,497567.22255,111350.47769999999,228168.99180000002,112355.41995000001,180067.1943,78397.9599
2022-02-18,33955.0,25699.0,15827.0,12097.0,11743.0,10988.0,489439.17637,109388.49464,225514.57029000003,112624.60004,177110.27861000004,76868.38594000001
2022-02-25,33095.0,25122.0,15423.0,12166.0,11830.0,10652.0,495764.17871999997,110960.67055999998,230031.42015999998,114091.43935999999,179442.01744,78047.88527999999
2022-03-04,33318.0,25443.0,15583.0,12403.0,12118.0,10911.0,494512.81932000007,110297.44232000002,228035.74508000002,114948.19258,180533.08416,76871.24484
2022-03-11,32689.0,24925.0,15331.0,12403.0,12017.0,10764.0,487956.5152,108879.35519999999,229130.8096,115541.888,179089.9264,75218.0352
2022-03-18,33400.0,25415.0,15661.0,12895.0,12003.0,10911.0,507408.64343999996,113456.31443999999,236625.5972,116541.8532,183161.88467999996,79886.84584
2022-03-25,33359.0,25603.0,15625.0,12786.0,12159.0,10934.0,521780.71176,116285.82987999999,237961.559,117896.3522,187885.3328,81977.58492000001
2022-04-01,33518.0,25695.0,15703.0,12826.0,12347.0,10925.0,520539.69825,116234.74005,238986.74800000002,117497.523,186537.07215000002,82451.98389999999
2022-04-08,32885.0,25338.0,15359.0,12777.0,12150.0,10732.0,518559.83796,115107.08823,229617.92028999998,113728.36069,188382.64692,80525.823
2022-04-15,32616.0,25301.0,15295.0,12491.0,12296.0,10723.0,507077.2374,113024.62372,230807.45188,115592.45221,186358.67996,78188.5221
2022-04-22,32780.0,25402.0,15345.0,12403.0,12388.0,10934.0,499131.28816,111045.53989,226150.37137999997,115282.89016,184761.33362999998,76135.50822
2022-04-29,32815.0,25294.0,15277.0,12320.0,12179.0,10788.0,489081.87166,108795.47725000001,220020.74423,112582.76929000001,180928.09375,74629.59688000001
2022-05-06,32237.0,24876.0,15049.0,11949.0,12096.0,10684.0,495204.77006,109662.57731000001,220106.84696,113874.45069,184672.84264,74445.69561000001
2022-05-13,31978.0,24443.0,14867.0,11761.0,11678.0,10589.0,487828.66874000005,107951.90672,216609.60976,113054.03332,182852.61488,72917.5181
2022-05-20,32329.0,24815.0,15096.0,12271.0,11775.0,10549.0,467252.1150299999,103679.72919,211503.60918,110652.37703999999,177278.60465999998,69029.40392999999
2022-05-27,32200.0,24811.0,15021.0,12112.0,11882.0,10531.0,493563.61802000005,109414.01504,223274.09874,116298.24228,186131.02838000003,73336.70476000001
2022-06-03,32574.0,25076.0,15198.0,12226.0,12119.0,10598.0,482560.66601000004,107054.13128,220191.90041,114548.73071,181590.03458000004,71891.06489000001
2022-06-10,31613.0,24383.0,14746.0,11914.0,11942.0,10350.0,467601.32388000004,103815.18039000001,215219.65168,112278.74339000002,177198.20519,69180.17422
2022-06-17,29594.0,22932.0,13764.0,11098.0,10865.0,9645.0,447059.33684999996,99023.49282,201945.70242000002,104755.71098999999,167828.39052,66602.97105000001
2022-06-24,28910.0,22295.0,13494.0,10756.0,10378.0,9234.0,480691.78392,106396.5774,215874.04304000002,110439.69148,178288.68646,72641.55992
2022-07-01,28240.0,21769.0,13131.0,10122.0,10470.0,9221.0,469440.19961999997,103880.12993,211190.32106000002,109511.44977,176077.85872000002,70015.79991999999
2022-07-08,28767.0,22160.0,13433.0,10746.0,10285.0,9370.0,479884.9214800001,106269.33820000001,216857.43484000003,109053.62464000001,177159.99400000004,72828.2518
2022-07-15,28550.0,21997.0,13340.0,10751.0,9895.0,9230.0,484922.28054999997,107190.12171,217994.66157999999,110761.1764,179079.32881,73289.5687
2022-07-22,29437.0,22555.0,13755.0,11018.0,10322.0,9528.0,492670.68759999995,109112.7947,223846.80500000002,113718.14219999999,181559.6705,74861.2202
2022-07-29,29992.0,23123.0,13978.0,11276.0,10749.0,9645.0,508364.85128,112505.56756999998,231026.48778,117716.6474,185631.90656999996,77773.86924999999
2022-08-05,30376.0,23462.0,14216.0,11801.0,10865.0,9614.0,509658.31106,113185.53434,235261.56742,117010.97529,185109.53671999997,78867.31078
2022-08-12,30677.0,23811.0,14313.0,11702.0,11260.0,9668.0,528072.66688,117486.37824,247829.39808,122669.40928,192992.23679999998,81399.86976
2022-08-19,30307.0,23499.0,14146.0,11405.0,11144.0,9618.0,531476.67298,117900.08872000001,245110.91242,123179.15957,194120.51094,81534.62942000001
2022-08-26,30025.0,23374.0,13997.0,11207.0,11283.0,9483.0,512162.82544,113820.42541,238940.25957,119835.37194,188792.85117,78157.42788
2022-09-02,29010.0,22746.0,13550.0,10974.0,10856.0,9244.0,507472.02791999996,112512.6072,233053.38107999996,116352.82277999999,187838.77031999998,76847.36975999999
2022-09-09,28645.0,22481.0,13377.0,10924.0,10795.0,9171.0,533136.13136,118405.11888,245752.43663999997,120742.81328,197382.87456000003,81060.14016
2022-09-16,28598.0,22499.0,13326.0,10632.0,10689.0,9171.0,510140.3844,113336.02960000001,235947.6468,116660.15079999999,189992.49360000002,77059.8168
2022-09-23,27580.0,21606.0,12809.0,10038.0,10280.0,8837.0,494433.31573,109354.91536,223935.37419,111815.55316,182873.72753,74752.79525
2022-09-30,26186.0,20421.0,12167.0,9439.0,9481.0,8372.0,487013.13420000003,108168.31432,225169.54384,111261.40786,181049.44706,73677.18206
2022-10-07,27019.0,21104.0,12553.0,9667.0,9714.0,8684.0,488568.79236,108527.68608000001,227342.44632000002,113008.38384000001,182556.37224000003,73586.7462
2022-10-14,26908.0,20923.0,12483.0,9632.0,9449.0,8688.0,487031.07580000005,107931.03175,227479.1969,114916.68245000001,183493.682,72410.9507
2022-10-21,26843.0,20937.0,12441.0,9449.0,9435.0,8684.0,513740.22128,113740.88845999999,237374.49873999998,120267.9338,192048.73086,76907.34894
2022-10-28,27439.0,21481.0,12679.0,9801.0,9690.0,8675.0,527077.4164,116958.31915,248551.8337,126344.0572,199108.6521,78150.3741
