date,open,high,low,close,volume,exchange
2021-09-07,94.5331,94.9393,93.7851,93.8867,174304.0,AMS
2021-09-08,93.5265,93.7759,92.52,92.8339,197107.0,AMS
2021-09-09,92.5939,93.6249,92.443,92.6216,192354.0,AMS
2021-09-10,93.1572,93.3326,91.3472,91.3657,354179.0,AMS
2021-09-13,92.0952,92.4738,91.4072,92.3722,375279.0,AMS
2021-09-14,92.8616,92.8755,90.6269,91.0702,596135.0,AMS
2021-09-15,91.0702,92.363,91.0702,92.206,691542.0,AMS
2021-09-16,92.2983,92.5015,91.1625,91.7812,389762.0,AMS
2021-09-17,91.7627,92.3353,91.0111,91.8089,727228.0,AMS
2021-09-20,89.8235,90.4515,88.8955,90.2298,487132.0,AMS
2021-09-21,90.8301,91.1432,89.3803,89.9528,277306.0,AMS
2021-09-22,90.5715,92.3999,90.5715,91.5042,273007.0,AMS
2021-09-23,92.0583,94.0991,92.0213,93.3972,216834.0,AMS
2021-09-24,93.023,94.2016,93.023,93.6262,279110.0,AMS
2021-09-27,93.9325,96.624,93.9325,95.7701,216405.0,AMS
2021-09-28,95.668,96.1891,94.5708,94.6657,681008.0,AMS
2021-09-29,95.1019,95.5845,94.4429,95.1947,286042.0,AMS
2021-09-30,95.5195,95.5202,93.4313,93.4313,573486.0,AMS
2021-10-01,93.8304,96.0485,93.4684,95.2968,2382798.0,AMS
2021-10-04,95.4174,96.2919,95.0184,95.5381,1532108.0,AMS
2021-10-05,95.9186,96.494,95.2689,95.8536,4449399.0,AMS
2021-10-06,94.7399,95.3339,93.3217,94.9441,722979.0,AMS
2021-10-07,95.668,96.9627,95.6309,96.4662,434466.0,AMS
2021-10-08,96.3919,96.9931,96.1042,96.1135,359278.0,AMS
2021-10-11,96.3548,96.8931,95.3803,95.3803,176408.0,AMS
2021-10-12,95.5845,95.9919,95.204,95.6123,211565.0,AMS
2021-10-13,95.5845,95.5845,94.2573,95.4546,472625.0,AMS
2021-10-14,96.3827,96.7539,95.9557,96.624,218588.0,AMS
2021-10-15,97.6542,98.0254,96.3084,96.3177,217479.0,AMS
2021-10-18,95.9929,96.8653,95.798,96.5033,227899.0,AMS
2021-10-19,96.7817,96.921,95.7701,96.262,199252.0,AMS
2021-10-20,96.1228,97.32,95.8444,97.1901,277532.0,AMS
2021-10-21,97.0323,97.7655,96.5868,97.2458,383611.0,AMS
2021-10-22,97.2829,97.7609,96.8281,97.4221,155757.0,AMS
2021-10-25,97.6449,98.3038,97.3758,98.3038,435063.0,AMS
2021-10-26,98.3595,98.3595,96.9117,96.9952,6689298.0,AMS
2021-10-27,96.5776,96.8467,94.8791,94.8791,772453.0,AMS
2021-10-28,95.2875,96.4569,95.2875,96.3455,153197.0,AMS
2021-10-29,96.2806,96.8003,95.5011,96.1042,360347.0,AMS
2021-11-01,96.5961,98.9161,96.5033,98.8421,243743.0,AMS
2021-11-02,98.9164,99.0741,98.1878,98.5266,265086.0,AMS
2021-11-03,98.573,101.4779,98.5473,100.8746,383055.0,AMS
2021-11-04,101.2273,101.7656,99.863,100.2714,373257.0,AMS
2021-11-05,101.515,103.0549,101.515,102.7958,351278.0,AMS
2021-11-08,103.4733,103.8074,102.5163,102.768,305261.0,AMS
2021-11-09,102.4524,102.8051,101.7795,102.5266,325977.0,AMS
2021-11-10,102.2111,102.8406,101.3758,101.6635,368857.0,AMS
2021-11-11,101.8584,102.8144,101.58,102.4246,305783.0,AMS
2021-11-12,102.5545,102.6009,101.8871,102.0255,194847.0,AMS
2021-11-15,102.3782,102.5174,101.645,102.1833,213463.0,AMS
2021-11-16,102.0069,102.4987,101.4779,102.1276,281842.0,AMS
2021-11-17,101.9048,101.9048,100.4385,100.8468,323820.0,AMS
2021-11-18,101.2459,101.5204,99.8259,100.7447,1581752.0,AMS
2021-11-19,99.7981,99.9187,98.9628,99.1948,231445.0,AMS
2021-11-22,99.9465,101.6264,99.7052,100.3735,432514.0,AMS
2021-11-23,100.4013,101.0947,100.0765,100.7447,1109281.0,AMS
2021-11-24,100.0301,100.5297,99.798,100.2807,139798.0,AMS
2021-11-26,96.9952,97.32,94.4429,96.2156,389731.0,AMS
2021-11-29,97.6449,97.8351,95.1762,95.7701,390621.0,AMS
2021-11-30,94.7678,95.023,92.7817,93.5891,894826.0,AMS
2021-12-01,95.6402,96.4383,92.0949,92.1784,2104237.0,AMS
2021-12-02,92.6424,95.5547,92.4754,95.0462,639369.0,AMS
2021-12-03,95.6031,95.7887,93.3664,94.1645,347223.0,AMS
2021-12-06,95.2782,97.3664,94.9163,96.4662,418762.0,AMS
2021-12-07,97.5335,98.573,97.0416,97.3757,370173.0,AMS
2021-12-08,97.7562,98.2296,97.3757,97.7748,218488.0,AMS
2021-12-09,97.0602,97.3943,96.4012,96.4291,185200.0,AMS
2021-12-10,97.0509,97.1994,95.5149,96.559,196676.0,AMS
2021-12-13,96.1712,96.3671,94.3715,94.6512,363616.0,AMS
2021-12-14,94.157,95.9661,94.157,94.3994,274394.0,AMS
2021-12-15,94.586,95.7609,93.1685,95.36,371588.0,AMS
2021-12-16,96.106,96.3166,93.7949,94.1104,308976.0,AMS
2021-12-17,93.7653,95.1175,92.8795,94.129,336676.0,AMS
2021-12-20,92.8328,92.8328,90.7813,92.4318,913511.0,AMS
2021-12-21,93.327,95.2294,93.3084,95.1921,386399.0,AMS
2021-12-22,95.0895,96.1433,94.7072,96.0873,401453.0,AMS
2021-12-23,96.4603,97.0564,96.2831,96.6935,211277.0,AMS
2021-12-27,96.9079,97.7286,96.0873,97.7286,239873.0,AMS
2021-12-28,97.5327,98.372,97.2623,97.6726,305099.0,AMS
2021-12-29,97.7099,98.0316,97.3183,97.7472,309311.0,AMS
2021-12-30,97.7938,98.6238,97.4022,97.4954,244252.0,AMS
2021-12-31,97.3556,97.8311,96.9825,97.4395,241408.0,AMS
2022-01-03,97.9524,99.6962,97.9524,98.8756,522929.0,AMS
2022-01-04,99.2113,100.5914,99.188,99.9853,923348.0,AMS
2022-01-05,100.1158,100.8525,98.2041,98.2974,1086501.0,AMS
2022-01-06,98.6331,99.5719,98.1016,98.8942,607769.0,AMS
2022-01-07,99.0154,99.4351,98.428,98.6145,516665.0,AMS
2022-01-10,98.1575,98.4186,97.1038,98.3067,580225.0,AMS
2022-01-11,98.5212,99.0433,97.3929,98.8569,925773.0,AMS
2022-01-12,99.2299,99.3884,97.7306,98.2788,635067.0,AMS
2022-01-13,98.745,99.7708,98.4373,98.7637,435144.0,AMS
2022-01-14,98.0176,99.3045,97.8498,99.2952,243788.0,AMS
2022-01-18,98.6238,98.6595,97.0105,97.1597,435296.0,AMS
2022-01-19,97.5141,97.5141,95.4346,95.5465,528575.0,AMS
2022-01-20,95.8076,96.88,93.2991,93.4856,383873.0,AMS
2022-01-21,93.0286,94.8376,92.3199,92.3199,651152.0,AMS
2022-01-24,91.2848,94.6419,90.5481,94.3435,753549.0,AMS
2022-01-25,93.0566,94.8098,91.3315,93.7467,576830.0,AMS
2022-01-26,94.7725,95.3879,91.1356,92.1707,370808.0,AMS
2022-01-27,92.7769,93.7747,89.9606,90.5295,674776.0,AMS
2022-01-28,90.6041,91.6392,88.8416,91.5646,802203.0,AMS
2022-01-31,91.0797,93.1499,90.8745,93.1499,697508.0,AMS
2022-02-01,93.3737,94.0824,91.9376,93.8399,889716.0,AMS
2022-02-02,94.0824,94.2129,92.5717,93.4483,733077.0,AMS
2022-02-03,92.665,93.7653,92.18,92.3292,499926.0,AMS
2022-02-04,92.1148,92.7302,90.6414,92.0775,1906381.0,AMS
2022-02-07,92.1334,92.9447,91.835,92.2733,858267.0,AMS
2022-02-08,92.4411,94.1477,92.4411,93.9518,289128.0,AMS
2022-02-09,94.6326,95.0429,94.2875,94.7165,334570.0,AMS
