date,open,high,low,close,volume,exchange
2021-09-07,423.8302,423.9048,421.9755,422.7584,2436679.0,AMS
2021-09-08,422.106,422.833,420.214,422.1992,4076761.0,AMS
2021-09-09,421.9103,423.6718,420.0835,420.3165,3851597.0,AMS
2021-09-10,422.2551,422.6745,416.8868,417.1104,3024045.0,AMS
2021-09-13,420.0369,420.2699,415.759,418.0797,3007399.0,AMS
2021-09-14,419.4777,419.7014,414.9295,415.8522,3663664.0,AMS
2021-09-15,416.2344,419.7667,415.1625,419.31,5473602.0,AMS
2021-09-16,418.7694,419.7201,415.6845,418.5271,2269307.0,AMS
2021-09-17,417.884,418.2661,414.2026,414.4915,4722837.0,AMS
2021-09-20,408.4614,409.9806,402.7855,407.5014,10006457.0,AMS
2021-09-21,409.9806,411.2481,406.7419,407.2684,6327275.0,AMS
2021-09-22,409.5798,413.2613,408.6105,411.2854,4928968.0,AMS
2021-09-23,413.1121,417.8094,412.8605,416.2157,4244537.0,AMS
2021-09-24,414.6,417.6312,414.3848,417.0137,3434998.0,AMS
2021-09-27,415.8911,417.0418,415.021,415.704,3175881.0,AMS
2021-09-28,412.9815,413.2809,406.6291,407.4056,7588746.0,AMS
2021-09-29,408.7341,410.4555,407.4804,408.1073,4173879.0,AMS
2021-09-30,409.4919,410.2123,402.8494,403.0553,7705340.0,AMS
2021-10-01,404.8141,409.519,401.2917,407.8547,6784032.0,AMS
2021-10-04,406.6759,407.5366,400.4217,402.5594,7910955.0,AMS
2021-10-05,404.1312,408.996,403.3079,406.7788,4738521.0,AMS
2021-10-06,403.205,408.6686,401.549,408.5095,5125737.0,AMS
2021-10-07,411.7653,414.8152,411.5501,411.8962,4110916.0,AMS
2021-10-08,412.757,413.1312,410.6332,411.2881,3056545.0,AMS
2021-10-11,410.5724,413.4867,408.1915,408.2195,2829041.0,AMS
2021-10-12,409.2019,409.5574,406.4747,407.1904,4986674.0,AMS
2021-10-13,408.2476,409.5293,405.3099,408.6405,5344307.0,AMS
2021-10-14,412.4202,415.7507,411.915,415.6385,3594825.0,AMS
2021-10-15,417.7715,419.1281,417.1073,418.8287,3719979.0,AMS
2021-10-18,416.995,420.3349,416.3214,420.0449,2692867.0,AMS
2021-10-19,421.6821,423.3474,421.0553,423.3474,2727783.0,AMS
2021-10-20,423.6842,425.2279,423.6,424.9753,2735756.0,AMS
2021-10-21,424.3204,426.2757,423.8994,426.0792,4878919.0,AMS
2021-10-22,425.677,427.0429,423.6468,425.5647,3756671.0,AMS
2021-10-25,426.678,428.2029,424.9004,427.7913,2065687.0,AMS
2021-10-26,429.4005,430.626,427.9036,428.2778,2550487.0,AMS
2021-10-27,428.7269,429.3724,426.3038,426.3693,2507097.0,AMS
2021-10-28,427.8194,430.5418,427.8007,430.467,2464664.0,AMS
2021-10-29,428.2029,431.6551,427.9036,431.2809,4175289.0,AMS
2021-11-01,432.3475,432.7122,430.3734,432.1697,2914779.0,AMS
2021-11-02,432.3007,434.1437,432.151,433.8724,3282790.0,AMS
2021-11-03,433.2924,436.8755,432.862,436.5387,2916130.0,AMS
2021-11-04,437.1001,438.6437,436.7539,438.5408,3039933.0,AMS
2021-11-05,440.8143,442.0866,438.5782,440.0845,4361065.0,AMS
2021-11-08,441.1791,441.6749,439.7851,440.5429,2962977.0,AMS
2021-11-09,440.8516,441.0575,437.5959,439.0086,3518981.0,AMS
2021-11-10,437.3433,439.0086,433.9847,435.5377,4230342.0,AMS
2021-11-11,436.9691,437.0159,435.6032,435.7154,3459950.0,AMS
2021-11-12,436.9317,439.4483,435.94,438.9244,2710648.0,AMS
2021-11-15,440.2622,440.3464,437.9514,439.0367,2947076.0,AMS
2021-11-16,438.8308,441.9369,438.7466,440.7861,3959241.0,AMS
2021-11-17,440.571,440.7207,439.0934,439.7477,4846134.0,AMS
2021-11-18,440.7768,441.4878,438.0918,441.1978,2912781.0,AMS
2021-11-19,441.0668,442.3485,440.0845,440.4774,3349764.0,AMS
2021-11-22,442.2643,444.8558,438.9992,439.1583,4286297.0,AMS
2021-11-23,438.9525,440.599,436.2581,439.7664,8485547.0,AMS
2021-11-24,437.8485,441.0855,436.9504,440.9078,4664109.0,AMS
2021-11-26,434.3121,435.7154,429.9805,430.9348,7263781.0,AMS
2021-11-29,435.8838,438.236,433.7227,436.4358,5482977.0,AMS
2021-11-30,434.0127,435.8558,427.6697,428.1375,9778430.0,AMS
2021-12-01,433.5824,436.4452,422.9358,423.1416,7944973.0,AMS
2021-12-02,423.3568,431.178,422.9732,429.6624,10040857.0,AMS
2021-12-03,431.2529,432.31,421.6915,425.8079,9924053.0,AMS
2021-12-06,428.493,432.8059,426.0325,430.9348,6552876.0,AMS
2021-12-07,436.23,440.4119,436.1832,439.888,6658955.0,AMS
2021-12-08,440.2669,441.4878,438.5034,441.0481,4992022.0,AMS
2021-12-09,439.757,440.6458,437.8766,438.073,5550894.0,AMS
2021-12-10,440.7768,442.3392,438.2321,442.2737,5628150.0,AMS
2021-12-13,441.728,441.9908,438.0208,438.3587,8930014.0,AMS
2021-12-14,434.9894,437.4671,432.2958,435.2615,10305913.0,AMS
2021-12-15,435.3179,442.3005,432.7932,442.1034,7050750.0,AMS
2021-12-16,443.8866,444.1869,436.5755,438.049,7865884.0,AMS
2021-12-17,435.0269,438.0396,431.7796,433.7036,8429484.0,AMS
2021-12-20,428.4009,429.2831,425.2474,428.8326,7001076.0,AMS
2021-12-21,432.2582,436.6412,430.1466,436.4722,6333021.0,AMS
2021-12-22,436.2282,440.9866,436.0874,440.8739,4833165.0,AMS
2021-12-23,441.8782,445.0786,441.7749,443.5769,4368755.0,AMS
2021-12-27,444.9378,449.9307,444.9378,449.9307,4130415.0,AMS
2021-12-28,450.3437,451.3385,448.7294,449.5835,4267035.0,AMS
2021-12-29,449.6304,451.0945,448.6168,450.0528,3312068.0,AMS
2021-12-30,450.5314,451.5169,448.3916,448.7857,4030624.0,AMS
2021-12-31,448.2977,449.4896,447.4436,447.6689,3980115.0,AMS
2022-01-03,448.9734,450.4,446.6553,450.3437,5560279.0,AMS
2022-01-04,451.7796,452.4366,448.2977,450.1935,5452002.0,AMS
2022-01-05,449.8087,450.522,441.3807,441.4183,7211395.0,AMS
2022-01-06,441.0616,443.7834,438.7435,441.0898,5959067.0,AMS
2022-01-07,441.1273,442.2817,437.9833,439.3254,7673579.0,AMS
2022-01-10,436.125,439.025,430.4,438.4995,8975938.0,AMS
