date,open,high,low,close,volume,exchange
2021-09-07,148.378,148.378,147.1971,147.2789,3306686.0,AMS
2021-09-08,146.9882,147.6513,146.6702,147.1971,1641662.0,AMS
2021-09-09,146.9064,147.7694,146.5022,146.5703,1989817.0,AMS
2021-09-10,147.2153,147.3334,145.4439,145.453,2483645.0,AMS
2021-09-13,146.3523,146.7974,145.5892,146.3341,3123357.0,AMS
2021-09-14,146.7338,146.7792,144.6536,144.9715,3033156.0,AMS
2021-09-15,145.0169,146.6248,144.8171,146.316,5122288.0,AMS
2021-09-16,146.4159,146.7066,145.0805,145.7891,3375458.0,AMS
2021-09-17,145.4802,145.998,144.808,144.9352,2983602.0,AMS
2021-09-20,142.8913,143.3092,141.1562,142.755,4261994.0,AMS
2021-09-21,143.5908,143.9814,142.2917,142.3463,3194762.0,AMS
2021-09-22,143.4091,144.6808,143.2637,143.7634,3536330.0,AMS
2021-09-23,144.5446,146.4931,144.4356,145.78,1909043.0,AMS
2021-09-24,145.4361,146.4404,145.3813,145.9656,2257154.0,AMS
2021-09-27,146.3217,147.2165,146.2943,146.4769,2118082.0,AMS
2021-09-28,146.1756,146.3217,144.3861,144.66,4029652.0,AMS
2021-09-29,145.0435,145.8104,144.587,145.1256,2568214.0,AMS
2021-09-30,145.4543,145.6735,142.8887,142.8979,4719518.0,AMS
2021-10-01,143.7561,145.5456,142.5966,144.7604,4164451.0,AMS
2021-10-04,144.6326,145.6917,143.4731,144.0848,4735450.0,AMS
2021-10-05,144.7057,145.9565,144.1396,145.1074,2882363.0,AMS
2021-10-06,144.0118,145.5091,143.1444,145.4726,5584012.0,AMS
2021-10-07,146.4313,147.6273,146.4313,146.6413,1977306.0,AMS
2021-10-08,146.8421,147.1526,146.3902,146.5956,2090131.0,AMS
2021-10-11,146.623,147.3534,145.3996,145.4087,2231296.0,AMS
2021-10-12,145.4269,145.9565,144.8426,145.1987,2438527.0,AMS
2021-10-13,145.2626,145.7282,143.9113,145.3448,2317002.0,AMS
2021-10-14,146.6504,147.7734,146.4221,147.6456,1424003.0,AMS
2021-10-15,148.5495,149.2069,148.4034,148.5586,1583793.0,AMS
2021-10-18,147.8282,148.6772,147.463,148.1478,4804093.0,AMS
2021-10-19,148.7595,149.3073,148.4125,149.3073,2439878.0,AMS
2021-10-20,149.4443,150.7408,149.3073,150.686,1929063.0,AMS
2021-10-21,150.549,150.6677,149.8414,150.5125,1227429.0,AMS
2021-10-22,150.4942,151.1608,150.1473,150.8412,1577149.0,AMS
2021-10-25,151.1242,151.3708,150.5856,151.1242,1161939.0,AMS
2021-10-26,151.3434,151.6903,151.0695,151.0877,2068092.0,AMS
2021-10-27,151.106,151.106,149.0151,149.0151,1857571.0,AMS
2021-10-28,149.3347,150.4121,149.3073,150.3756,1949701.0,AMS
2021-10-29,150.1747,150.6312,149.7821,150.2295,2514824.0,AMS
2021-11-01,150.7682,151.0968,150.3756,150.9964,2821284.0,AMS
2021-11-02,151.2064,151.599,150.7864,151.4255,1252456.0,AMS
2021-11-03,151.0238,152.3203,150.896,152.1833,2582180.0,AMS
2021-11-04,152.4025,152.4025,150.9142,151.5442,4350261.0,AMS
2021-11-05,152.3386,153.1055,151.7953,152.2747,1930394.0,AMS
