date,open,high,low,close,volume,exchange
2021-09-07,213.9802,215.183,212.6035,212.7305,19153387.0,AMS
2021-09-08,211.9975,212.3358,209.1973,210.4095,25241516.0,AMS
2021-09-09,210.0524,212.6318,209.5093,210.3061,27180475.0,AMS
2021-09-10,211.5747,211.6968,208.1543,208.2483,24366127.0,AMS
2021-09-13,209.7423,209.9021,206.9609,209.4322,34693062.0,AMS
2021-09-14,210.2498,210.2685,205.8521,206.7636,30312554.0,AMS
2021-09-15,206.7448,209.3007,206.2186,208.6335,27572014.0,AMS
2021-09-16,208.8497,209.8645,206.9703,208.7839,22369030.0,AMS
2021-09-17,208.2483,209.5732,207.3274,209.0564,39957579.0,AMS
2021-09-20,204.3299,205.777,201.2948,204.0856,44958534.0,AMS
2021-09-21,205.5702,206.0589,202.7982,204.3956,26711163.0,AMS
2021-09-22,205.6736,209.1222,205.6642,207.5717,32100323.0,AMS
2021-09-23,208.7745,212.0304,208.1919,211.2458,31057849.0,AMS
2021-09-24,210.1986,211.4568,209.0864,210.2269,28866026.0,AMS
2021-09-27,210.7641,214.586,210.6793,213.422,29743232.0,AMS
2021-09-28,212.4512,212.6303,208.1534,208.5681,39938155.0,AMS
2021-09-29,209.4917,209.8593,207.5124,208.1251,23628860.0,AMS
2021-09-30,209.3503,209.8122,206.0327,206.1741,33153551.0,AMS
2021-10-01,207.3051,210.651,205.2221,209.5011,32647021.0,AMS
2021-10-04,209.3692,209.5388,206.3437,207.5973,32580237.0,AMS
2021-10-05,208.257,210.2363,207.2391,208.3136,20407608.0,AMS
2021-10-06,206.1835,207.5407,204.2985,207.2297,32893268.0,AMS
2021-10-07,208.7943,212.0176,208.6435,210.4248,24289331.0,AMS
2021-10-08,210.5473,211.2259,208.766,208.8414,17989556.0,AMS
2021-10-11,209.077,210.6981,207.5878,207.6444,15929780.0,AMS
2021-10-12,208.1534,209.6802,207.6915,208.7848,18800635.0,AMS
2021-10-13,209.1336,209.897,207.192,209.7745,19676172.0,AMS
2021-10-14,211.8291,213.0073,211.4239,212.8848,18159962.0,AMS
2021-10-15,214.8734,215.2751,212.1213,212.2156,27555333.0,AMS
2021-10-18,211.0092,212.701,210.8678,212.093,19082599.0,AMS
2021-10-19,212.9884,213.8367,211.6972,212.8848,15498358.0,AMS
2021-10-20,212.979,214.8734,212.1779,214.2985,18130549.0,AMS
2021-10-21,214.1289,215.8442,213.5916,214.8452,17851620.0,AMS
2021-10-22,214.7038,215.2599,212.7151,214.3362,16886970.0,AMS
2021-10-25,214.6944,216.7585,214.2137,216.372,16387146.0,AMS
2021-10-26,216.8056,217.4559,214.7038,214.7415,25290160.0,AMS
2021-10-27,214.1194,214.3833,210.651,210.7924,27088453.0,AMS
2021-10-28,211.8763,215.1373,211.848,214.996,22890647.0,AMS
2021-10-29,214.7038,215.6746,213.9121,214.9394,20777666.0,AMS
2021-11-01,216.0704,220.717,215.7311,220.5097,35500822.0,AMS
2021-11-02,220.9055,221.3485,219.275,220.9715,24949704.0,AMS
2021-11-03,220.6887,226.0233,220.472,224.9206,47648496.0,AMS
2021-11-04,225.7123,227.0837,223.9027,224.8358,26514023.0,AMS
2021-11-05,227.3052,229.407,226.3909,227.9084,42041677.0,AMS
2021-11-08,229.7274,230.406,228.0215,228.6152,31324548.0,AMS
2021-11-09,228.0874,228.587,225.7689,227.2863,29895916.0,AMS
2021-11-10,226.2778,227.6727,222.7246,223.7048,32471632.0,AMS
2021-11-11,224.6096,226.5587,223.9969,225.505,17987496.0,AMS
2021-11-12,226.127,226.4003,225.0149,225.7312,20526719.0,AMS
2021-11-15,226.7396,226.9187,223.8933,224.8358,27390040.0,AMS
2021-11-16,224.0912,225.6086,223.3278,225.2505,21925179.0,AMS
2021-11-17,224.3739,224.4399,221.6124,222.3004,26527765.0,AMS
2021-11-18,223.2995,223.4409,219.652,221.3579,30637302.0,AMS
2021-11-19,219.8593,220.9432,219.0299,219.3409,33994017.0,AMS
2021-11-22,220.7547,222.1873,218.3042,218.4079,31042087.0,AMS
2021-11-23,218.0874,219.6048,215.4767,218.0309,33843831.0,AMS
2021-11-24,216.2024,218.6529,215.4013,218.2665,24099292.0,AMS
2021-11-26,212.0271,213.1675,207.0129,210.0384,62595374.0,AMS
2021-11-29,213.2146,213.7142,208.5209,209.9064,45982414.0,AMS
2021-11-30,207.9743,209.1053,203.4691,205.6274,64908363.0,AMS
2021-12-01,210.34,211.3202,200.896,200.9997,69305403.0,AMS
2021-12-02,202.0459,207.2957,201.5275,206.6076,64315720.0,AMS
2021-12-03,207.6255,207.7104,200.4813,202.3663,64425236.0,AMS
2021-12-06,204.0911,208.0025,201.4238,206.4286,43878330.0,AMS
2021-12-07,209.3692,213.045,209.2184,211.2165,44679195.0,AMS
2021-12-08,211.6878,213.5115,210.2363,212.6585,36546381.0,AMS
2021-12-09,211.0751,212.8282,207.8046,207.8423,34830252.0,AMS
2021-12-10,209.4257,210.0384,205.7688,207.2674,32924568.0,AMS
2021-12-13,206.4595,207.0835,203.0136,204.2379,33478398.0,AMS
2021-12-14,202.8577,205.637,201.657,202.4795,36543485.0,AMS
2021-12-15,202.5079,206.2421,199.5489,205.6938,51261021.0,AMS
2021-12-16,207.4616,207.887,200.6549,201.5341,52743794.0,AMS
2021-12-17,200.6077,205.4763,198.8115,203.3871,63114782.0,AMS
2021-12-20,200.5037,201.3073,197.3556,200.532,49993003.0,AMS
2021-12-21,202.4984,206.4548,200.4763,206.261,38545265.0,AMS
2021-12-22,205.9679,208.3124,205.2684,208.2463,32442011.0,AMS
2021-12-23,208.9742,210.6286,208.303,209.9101,22125391.0,AMS
2021-12-27,210.1937,211.9852,208.5488,211.8765,24196655.0,AMS
2021-12-28,211.5645,213.3985,210.2032,210.5813,23120267.0,AMS
2021-12-29,210.553,211.281,209.168,210.8082,19444392.0,AMS
2021-12-30,210.761,213.1149,210.5341,210.7515,23607696.0,AMS
2021-12-31,210.3355,211.8765,210.241,210.2977,23997427.0,AMS
2022-01-03,211.4889,214.3061,210.5624,213.0109,30618792.0,AMS
2022-01-04,213.6538,214.7221,211.1769,212.6895,22013134.0,AMS
2022-01-05,212.5855,213.5687,205.448,205.4858,40582077.0,AMS
2022-01-06,205.9207,208.3786,204.0299,206.658,39105870.0,AMS
2022-01-07,206.658,208.3408,204.1292,204.2663,31583886.0,AMS
2022-01-10,203.0373,203.6187,199.5772,203.5572,45778073.0,AMS
2022-01-11,203.7085,205.9301,201.3262,205.7221,35209892.0,AMS
2022-01-12,206.5824,207.3954,202.9144,204.1906,35284512.0,AMS
2022-01-13,204.9658,206.2704,201.7232,202.3188,34489556.0,AMS
2022-01-14,200.4091,202.6875,199.0762,202.6024,42020871.0,AMS
2022-01-18,200.6077,200.8346,196.1928,196.4764,49512155.0,AMS
2022-01-19,197.4029,198.0174,193.2149,193.2811,46209065.0,AMS
2022-01-20,194.1602,197.573,189.3861,189.7832,50465974.0,AMS
2022-01-21,188.8473,191.9292,186.2286,186.2286,85821001.0,AMS
2022-01-24,183.4681,191.3336,180.7833,190.5206,85903216.0,AMS
2022-01-25,187.6372,190.6813,183.9313,187.9775,61088549.0,AMS
2022-01-26,190.7569,192.4302,183.1372,185.2643,71471745.0,AMS
2022-01-27,186.8336,188.7055,180.1886,181.0574,59829045.0,AMS
2022-01-28,181.2276,184.6404,177.8148,184.5836,65869951.0,AMS
2022-01-31,183.7706,190.2464,183.2601,190.2464,53393759.0,AMS
2022-02-01,190.6435,192.4491,187.1503,192.2506,43429351.0,AMS
2022-02-02,192.4964,192.7611,188.4029,190.341,42777817.0,AMS
2022-02-03,187.9775,190.2464,186.2853,186.7391,39629365.0,AMS
2022-02-04,186.2759,189.1687,184.2717,187.5427,34291072.0,AMS
2022-02-07,187.5899,190.1708,187.174,188.4691,33242576.0,AMS
2022-02-08,188.5731,192.0237,188.4691,191.6834,28341923.0,AMS
2022-02-09,193.3945,195.3609,193.1392,195.3231,27329310.0,AMS
2022-02-10,191.8157,197.6298,191.0783,192.3262,44788095.0,AMS
2022-02-11,192.5248,194.8031,188.7811,190.3788,41516553.0,AMS
2022-02-14,190.6151,192.4113,188.3557,189.717,32262664.0,AMS
2022-02-15,191.7023,195.0347,191.5605,194.8031,25883738.0,AMS
2022-02-16,194.0846,195.947,192.9313,195.2096,30104755.0,AMS
2022-02-17,193.3756,193.8294,189.8115,190.2086,27140233.0,AMS
2022-02-18,190.0479,191.6456,187.9019,188.5731,36255429.0,AMS
2022-02-22,187.6372,189.4996,184.6782,185.9166,31847129.0,AMS
2022-02-23,187.4103,188.0342,182.0311,182.4377,31491521.0,AMS
2022-02-24,178.0322,187.6372,177.6541,187.2212,52221072.0,AMS
2022-02-25,187.8357,191.551,186.238,191.4376,33656151.0,AMS
2022-02-28,189.5185,193.4229,189.509,192.2128,34975853.0,AMS
2022-03-01,191.5888,192.6571,186.9943,188.592,40638906.0,AMS
2022-03-02,189.8683,194.0846,189.7265,193.0825,29978551.0,AMS
2022-03-03,193.8861,193.905,189.3483,190.7947,30142659.0,AMS
2022-03-04,188.7905,189.8872,186.2191,187.8074,31657741.0,AMS
2022-03-07,188.3368,188.6818,183.0994,183.1372,39279830.0,AMS
2022-03-08,183.7234,188.6676,182.8914,184.1488,45715788.0,AMS
2022-03-09,187.3914,190.0195,186.8242,189.3389,29048016.0,AMS
2022-03-10,186.6256,189.112,185.8221,188.9985,25660992.0,AMS
2022-03-11,189.8115,190.738,185.7086,185.9828,24990029.0,AMS
